,file,Exotic,taxonomic_identification,time,Family,data.type
67,280c82bf-7219-46af-b8f5-551e2c055006  1960-03-25T00:00:00+00:00.jpg,U,U,10.91547058,Asteraceae,herb
68,28a3596c-a85b-49a3-b7b8-1adf8ff53757  1975-04-22T00:00:00+00:00.jpg,N,1,48.90947659,Asteraceae,herb
69,29004365-c616-4ebd-bdf8-cbff26402032  1896-05-02T00:00:00+00:00.jpg,N,1,107.5598282,Asteraceae,herb
70,293a2de3-8c39-4028-8533-3ba0a121916f  1898-08-20T00:00:00+00:00.jpg,N,1,14.64262401,Asteraceae,herb
71,2b7a2668-88e8-453d-ae86-c26215d35144  2017-05-18T00:00:00+00:00.jpg,N,1,56.26496949,Asteraceae,herb
72,2bd8026a-f76b-4cfc-add9-839348760238  .jpg,N,1,9.333529552,Asteraceae,herb
73,2c012e7d-c32b-4aa9-a625-81032facf298  1969-07-25T00:00:00+00:00.jpg,N,0,37.70252809,Asteraceae,herb
74,2d509022-37ab-4314-a663-d3d63ea7ac45  1946-11-01T00:00:00+00:00.jpg,N,1,144.9562722,Asteraceae,herb
75,2d803dd0-b60d-4cbd-9416-7912721c92ce  1970-09-15T00:00:00+00:00.jpg,N,1,2.92522982,Asteraceae,herb
76,2f2b3006-740f-4c2a-9cb0-e66fd35feebc  2012-10-02T00:00:00+00:00.jpg,N,1,26.22225228,Asteraceae,herb
77,2f884994-c6c7-4f0e-8756-5f184bd00fc7  1992-10-30T00:00:00+00:00.jpg,N,1,8.068589834,Asteraceae,herb
78,302424ff-abe7-4693-980d-1c03ccac8dd5  1980-10-06T00:00:00+00:00.jpg,N,1,11.14742261,Asteraceae,herb
79,30564cad-fbd5-440a-b4b8-ceab7564fed9  2005-08-19T00:00:00+00:00.jpg,N,1,674.1497724,Asteraceae,herb
80,30669e95-17bd-4a36-be32-b47b6deb7a12  1983-10-29T00:00:00+00:00.jpg,N,O,41.37612381,Asteraceae,herb
81,30dc203d-a20f-44a7-9716-822851c846f9  1940-08-07T00:00:00+00:00.jpg,N,1,127.0533951,Asteraceae,herb
82,30ed1600-264e-45ce-ab9e-da3caaca23f4  1961-10-27T00:00:00+00:00.jpg,N,1,15.21839054,Asteraceae,herb
83,31c02d5c-dcfd-45d0-b403-ad79f42cd482  1867-05-13T00:00:00+00:00.jpg,N,1,19.53116282,Asteraceae,herb
84,3204615e-e2ce-45ef-87bd-476fd11ea139  .jpg,N,1,16.91445669,Asteraceae,herb
85,3205a476-2de5-4a38-a8bb-a0de22456028  1897-06-14T00:00:00+00:00.jpg,N,1,3.775559022,Asteraceae,herb
86,321ba9b6-91d0-466f-8632-0bf4389b3e59  2008-09-24T00:00:00+00:00.jpg,U,U,11.84924143,Asteraceae,herb
87,32ae4c32-f611-48d2-9c19-a83f28441706  2016-04-16T00:00:00+00:00.jpg,N,1,217.7343462,Asteraceae,herb
88,32e75ea0-8a7b-47c5-9270-24c76fb725dc  1897-08-11T00:00:00+00:00.jpg,N,1,41.58907687,Asteraceae,herb
89,32ebf959-b566-4168-88a3-87503fbf6824  1941-09-02T00:00:00+00:00.jpg,N,1,146.3490392,Asteraceae,herb
90,33a77d9f-6e03-4e64-b98f-a1329c2a6843  2013-05-18T00:00:00+00:00.jpg,N,1,26.03951941,Asteraceae,herb
91,33e13dc6-6b6d-4808-906f-71118150e82c  1947-10-21T00:00:00+00:00.jpg,N,1,84.70469195,Asteraceae,herb
92,34146e76-0dbc-448d-b499-99a3146238c4  1967-10-03T00:00:00+00:00.jpg,N,O,20.91758035,Asteraceae,herb
93,35200135-a488-4173-a3b7-3ad8344e1e4a  1955-08-06T00:00:00+00:00.jpg,N,1,3.86916704,Asteraceae,herb
94,3555bb3b-71b7-42c7-9d43-a156f3371fe6  .jpg,N,1,24.1735415,Asteraceae,herb
95,35891eb2-6b87-49cb-94f8-352e85cac7cb  1976-08-21T00:00:00+00:00.jpg,N,1,56.53557376,Asteraceae,herb
96,358f80fc-3c3f-402d-a85b-4a85b66af212  1948-09-28T00:00:00+00:00.jpg,N,1,17.95790785,Asteraceae,herb
97,35ca9a3a-34c1-4680-96df-e36f7daaa848  .jpg,N,1,62.49091592,Asteraceae,herb
98,3686291e-c155-4575-bc97-5fd16a8cf2ce  1952-07-30T00:00:00+00:00.jpg,N,1,6.310529192,Asteraceae,herb
99,378f028d-72af-47bd-9f9f-ad697d277421  1992-09-25T00:00:00+00:00.jpg,N,1,6.234493136,Asteraceae,herb
100,37e0e2e4-47d6-45c2-b7ca-7ef0682a47f7  1945-06-14T00:00:00+00:00.jpg,N,1,306.7307573,Asteraceae,herb
101,386046c9-1b30-4abd-8206-ac152ff09cbc  2007-03-03T00:00:00+00:00.jpg,Y,1,56.68682932,Asteraceae,herb
102,38975124-0e95-4d0e-a39a-b4a1bdb118b3  2000-07-12T00:00:00+00:00.jpg,N,O,55.85861175,Asteraceae,herb
103,390f6a3d-c94c-4ca2-9392-3417bfa59d66  1897-10-02T00:00:00+00:00.jpg,N,1,35.80845683,Asteraceae,herb
104,39515e19-4ee3-450e-ab78-92863b25d843  2008-03-20T00:00:00+00:00.jpg,N,1,9.295321634,Asteraceae,herb
105,3969284b-da68-47ff-8112-cd752c59eb67  2015-08-14T00:00:00+00:00.jpg,U,U,6.361043862,Asteraceae,herb
106,39f903b6-fdc7-4812-bdf0-3e72d0a7deae  2018-04-26T00:00:00+00:00.jpg,N,1,13.1721489,Asteraceae,herb
107,3a9345d7-c3d6-4d52-844c-4158ee400f2b  2006-06-25T00:00:00+00:00.jpg,N,1,4.36310176,Asteraceae,herb
108,3aaaeeaf-e9c7-42c2-ac20-4590a6e04836  1968-07-26T00:00:00+00:00.jpg,N,1,32.55558109,Asteraceae,herb
109,3bc4eb23-4eb7-4dce-ab97-7640888a7907  1976-11-06T00:00:00+00:00.jpg,N,1,19.96189722,Asteraceae,herb
110,3be6faa2-6b3e-4e00-8b36-2356b4d4ac23  2007-06-03T00:00:00+00:00.jpg,N,1,58.77196703,Asteraceae,herb
111,3c424028-ffab-4454-ae83-2d779c157b5b  1970-09-04T00:00:00+00:00.jpg,N,1,7.372432522,Asteraceae,herb
112,3c44765f-1ffa-43e2-9b16-6e22c0ab40dd  1966-09-28T00:00:00+00:00.jpg,N,1,5.846723721,Asteraceae,herb
113,3d01a6e7-e8bf-44ed-8e0f-47cf03150772  1970-09-25T00:00:00+00:00.jpg,N,1,12.12059959,Asteraceae,herb
114,3e1207a1-2647-48b9-9b54-b990a6c117b4  1926-09-14.jpg,N,1,20.46706991,Asteraceae,herb
115,3e14bf79-533f-46db-8f2b-bdb99fba0aca  1879-06-09T00:00:00+00:00.jpg,N,O,12.31733021,Asteraceae,herb
116,3eb328cb-e5d4-4e12-a7a7-95519795a88c  1996-11-08T00:00:00+00:00.jpg,N,1,20.95887536,Asteraceae,herb
117,40862616-6bd9-4cf6-b313-ebb16a92ab9a  2001-09-29.jpg,N,1,5.267692563,Asteraceae,herb
118,40c65480-7f10-4c71-9f38-544d431bbe22  .jpg,N,1,53.66849096,Asteraceae,herb
119,41fb0a60-c11c-4cc2-a7ae-0f3ce6807456  2012-05-24T00:00:00+00:00.jpg,N,1,28.51813081,Asteraceae,herb
120,42b1f5f2-fef0-498b-b785-a553bc85a25e  1932-09-23T00:00:00+00:00.jpg,N,1,13.3414019,Asteraceae,herb
121,44d56ff5-a21c-445f-b3a4-113304ea8515  1996-10-02T00:00:00+00:00.jpg,N,1,17.56610554,Asteraceae,herb
122,4524006b-8f5f-4ca5-b2ce-a129d2a9d9a4  1988-07-08T00:00:00+00:00.jpg,U,U,19.10096306,Asteraceae,herb
123,45d9c0b5-01c0-481e-b0fb-78632cbe98a4  1968-10-01T00:00:00+00:00.jpg,U,U,79.51139859,Asteraceae,herb
124,463ebacd-19cd-4f0f-b451-6ec44a581864  1960-08-02T00:00:00+00:00.jpg,N,1,118.7324258,Asteraceae,herb
125,46a49b5e-104f-42ed-80ec-7cf3972ff4c6  1967-06-14T00:00:00+00:00.jpg,N,1,22.21966836,Asteraceae,herb
126,470c83c6-5e27-4c00-82d0-f75535b8c652  1861-10-09T00:00:00+00:00.jpg,N,1,51.9779238,Asteraceae,herb
127,47619d64-41d4-49f1-ad19-29f74a227b12  2000-05-10T00:00:00+00:00.jpg,N,1,29.25413397,Asteraceae,herb
128,480b28ba-2059-4d64-9ad7-d2e581526f57  1878-07-03T00:00:00+00:00.jpg,N,1,145.0611674,Asteraceae,herb
129,4817a0f6-f9cf-4700-bb42-2b5c08fb3a1a  1899-10-09T00:00:00+00:00.jpg,N,O,7.98680155,Asteraceae,herb
130,48186eba-7102-4a91-89a7-8e7536c9b09d  1945-10-04T00:00:00+00:00.jpg,N,1,67.03957595,Asteraceae,herb
131,483de042-ed09-4b8b-8607-dba54f579207  1963-04-14T00:00:00+00:00.jpg,N,1,24.49533609,Asteraceae,herb
132,48cc344a-b8a3-455c-8a80-65c113f05d70  2015-07-01T00:00:00+00:00.jpg,U,U,9.557988298,Asteraceae,herb
133,49ae1df2-051b-4ce1-b80c-e4f2171042f5  1886-08-07T00:00:00+00:00.jpg,N,1,40.853727,Asteraceae,herb
134,4a825bf0-eb5d-4927-a759-330adf79497d  1973-10-28T00:00:00+00:00.jpg,N,1,128.8365482,Asteraceae,herb
135,4a90112f-7f47-4e01-97a7-da3f1a215b85  1903-10-01T00:00:00+00:00.jpg,N,1,17.4072797,Asteraceae,herb
136,4b5614f9-40fa-424b-9cdd-192c227daeaf  1934-08-05T00:00:00+00:00.jpg,N,1,38.26832752,Asteraceae,herb
137,4b8e9116-6cfd-42fa-9f94-8a79b4e0b48e  1945-05-04T00:00:00+00:00.jpg,N,1,59.67744515,Asteraceae,herb
138,4c3b704c-7366-420d-a9a1-29e35d195e14  1953-09-15T00:00:00+00:00.jpg,N,1,5.763791745,Asteraceae,herb
139,4c6aacae-a8e1-49fc-8c2a-046618b0b85c  1931-09-30T00:00:00+00:00.jpg,N,1,18.34185716,Asteraceae,herb
140,4cbee50c-d699-4740-b341-d3154c005db4  1957-10-14T00:00:00+00:00.jpg,N,1,45.13672877,Asteraceae,herb
141,4dd2a017-d6c5-4d66-8019-4d82b236b100  1958-05-04T00:00:00+00:00.jpg,N,1,4.089921916,Asteraceae,herb
142,4f5b9a6d-2fd1-408e-b328-ec5a588d15ba  1993-10-14T00:00:00+00:00.jpg,N,1,62.39306059,Asteraceae,herb
143,507bb7a6-42de-477b-b46a-cd4e57e0bfaa  2004-10-10T00:00:00+00:00.jpg,N,1,16.16707592,Asteraceae,herb
144,51538652-e77e-45e2-8a5c-a714876c505a  1891-08-13T00:00:00+00:00.jpg,N,O,47.82359334,Asteraceae,herb
145,518972ba-5bb4-45b2-9235-abd572ea704e  2001-04-21T00:00:00+00:00.jpg,N,1,36.07094071,Asteraceae,herb
146,51b31631-c1e7-4b46-a006-c17ea7d5feb1  1967-09-30T00:00:00+00:00.jpg,N,1,13.49023038,Asteraceae,herb
147,52a0a427-4c6a-4961-8ff6-91c3b47db373  2003-08-14T00:00:00+00:00.jpg,N,1,278.9679073,Asteraceae,herb
148,53198a4f-3d9e-4970-8c6a-7247d13b1c15  1960-05-02T00:00:00+00:00.jpg,N,1,14.24283301,Asteraceae,herb
149,53571636-fd2a-403b-883b-edf04749f3ee  1994-08-19T00:00:00+00:00.jpg,N,1,19.63320621,Asteraceae,herb
150,5401ff12-9e4f-4f96-bf1d-e2827a580803  1952-10-12T00:00:00+00:00.jpg,N,1,26.61210793,Asteraceae,herb
151,541d7f5d-b9c0-46c0-9847-bc2943316348  1968-06-20T00:00:00+00:00.jpg,N,1,33.26874032,Asteraceae,herb
152,54671ddb-b875-4a38-836b-ca7e1b30454f  1962-09-08T00:00:00+00:00.jpg,N,1,25.87902056,Asteraceae,herb
153,5745d15a-71b0-488f-b298-746dea55ba70  2020-05-15T00:00:00+00:00.jpg,N,1,46.5819958,Asteraceae,herb
154,579a35d8-006c-4855-b92c-879d5fbd33da  1966-10-11T00:00:00+00:00.jpg,N,O,7.565542052,Asteraceae,herb
155,57f513e8-5b08-4c4e-ac0e-7a14ccd14037  1968-08-21T00:00:00+00:00.jpg,N,1,32.44957022,Asteraceae,herb
156,5810a3c0-6d6c-4f03-b89e-ce919bdbca18  2013-09-10T00:00:00+00:00.jpg,U,U,3.407502572,Asteraceae,herb
157,58a77794-ecfc-4f5f-ace3-ef3ca839c745  1969-04-26T00:00:00+00:00.jpg,U,U,6.150422553,Asteraceae,herb
158,5a3aefcd-ecfc-4e01-ba4b-a2f4753a765d  1966-05-07T00:00:00+00:00.jpg,U,U,14.9967089,Asteraceae,herb
159,5a50f5cf-0412-480b-97e3-ef20fa3b6756  1958-10-09T00:00:00+00:00.jpg,N,1,27.7138744,Asteraceae,herb
160,5a61344e-c9ed-49c8-8dc1-8118fbca303a  2018-08-22T00:00:00+00:00.jpg,N,1,95.77198217,Asteraceae,herb
161,5a65713c-0137-4b8a-bef2-614341db01c9  1952-06-26T00:00:00+00:00.jpg,N,1,78.75415464,Asteraceae,herb
162,5a776eda-a349-4e18-ac26-fc7dee8cdd9f  1967-03-26T00:00:00+00:00.jpg,N,1,6.245622273,Asteraceae,herb
163,5a7e5435-61e2-4ae5-bc44-c32948fe5d52  2016-09-11.jpg,N,1,394.8462183,Asteraceae,herb
164,5b6d750b-7c75-45c0-be57-5ecb8b042e34  1953-09-07T00:00:00+00:00.jpg,N,0,29.28549366,Asteraceae,herb
165,5b916f46-66fa-4f5e-975b-20384a8c8a7d  1970-10-17T00:00:00+00:00.jpg,N,1,20.90418864,Asteraceae,herb
166,5bcb8f6a-ecf1-4026-b7e1-dc8324fadbed  1898-10-06T00:00:00+00:00.jpg,U,U,67.11311465,Asteraceae,herb
167,5c0007b5-b81f-41da-bfbf-7f48a04a96b2  1955-09-22T00:00:00+00:00.jpg,N,1,143.573497,Asteraceae,herb
168,5df3fb61-5fc3-4b21-ac20-d28afab47a30  2004-09-02T00:00:00+00:00.jpg,N,1,8.589027484,Asteraceae,herb
169,60ccf31f-409c-436d-9690-da0577611835  1957-10-04T00:00:00+00:00.jpg,Y,1,5.15281689,Asteraceae,herb
170,60fe5f28-e042-4f45-8dfa-2685f31adac0  .jpg,N,1,19.23388298,Asteraceae,herb
171,61fe2ed8-88dc-4516-99ea-7eaf0385771c  2003-09-07T00:00:00+00:00.jpg,N,1,7.562308084,Asteraceae,herb
172,627a283b-fe95-4d9b-93bf-b57e46110ac3  1915-07-10T00:00:00+00:00.jpg,N,1,57.41245453,Asteraceae,herb
173,62aef20f-bb9e-42cb-8f0a-86613c41f0f5  2009-10-07T00:00:00+00:00.jpg,N,1,628.7279824,Asteraceae,herb
174,6383540b-c1f6-4fc4-b821-12f7bba4c5a2  1981-09-23T00:00:00+00:00.jpg,N,1,4.295987812,Asteraceae,herb
175,6406fa1e-4ca8-402d-bef9-ece46a07e040  1980-09-11T00:00:00+00:00.jpg,N,1,123.2391421,Asteraceae,herb
176,6503682e-1772-45a1-9312-6d8f897384a8  1995-11-21T00:00:00+00:00.jpg,N,1,5.305452161,Asteraceae,herb
177,650f58b0-7e1d-42eb-bd94-c598a8e4ffd8  1979-06-04T00:00:00+00:00.jpg,N,1,107.1404671,Asteraceae,herb
178,65c74932-aa67-471e-ac99-c5ba1e0eb3ac  .jpg,N,1,18.92606639,Asteraceae,herb
179,65e3037c-9fd1-4c54-a755-a58bad797150  2004-09-11T00:00:00+00:00.jpg,Y,1,56.36102473,Asteraceae,herb
180,65fd866d-7395-4efb-ab53-ec0f9d343a06  .jpg,U,U,160.1990477,Asteraceae,herb
181,66af1fdf-9398-48df-9cf6-d28941700119  1967-10-13T00:00:00+00:00.jpg,N,1,5.241478436,Asteraceae,herb
182,6703de40-f94e-4199-bf7c-c382c70368e8  1943-08-07T00:00:00+00:00.jpg,N,1,90.63633082,Asteraceae,herb
183,67842faa-d7bc-4b90-b4ee-cc1dcd0651f4  1936-06-27T00:00:00+00:00.jpg,N,1,69.20330385,Asteraceae,herb
184,6813b42a-cefc-47f1-8dc9-18031c89abc7  .jpg,N,1,8.831482553,Asteraceae,herb
185,6af7827a-0f86-4618-b278-2f5ad2bd2b2a  1912-09-13T00:00:00+00:00.jpg,N,1,5.041229432,Asteraceae,herb
186,6b644104-859f-416e-a1e6-feeeee23367e  2000-09-29T00:00:00+00:00.jpg,N,1,8.984664666,Asteraceae,herb
187,6c33efe8-4906-4321-87b0-d765f8aaac92  1964-07-08T00:00:00+00:00.jpg,N,1,61.82369797,Asteraceae,herb
188,6ddcb1f5-c4ab-4636-98fe-351d7ee620a6  1915-10-25T00:00:00+00:00.jpg,N,1,213.1702544,Asteraceae,herb
189,6e4dff17-3a1d-4a51-827a-bae4cfe2b1a0  1969-09-03T00:00:00+00:00.jpg,N,O,41.50517996,Asteraceae,herb
190,6f591144-fbd1-47a1-aae4-75eebd503fc7  .jpg,N,1,14.16106055,Asteraceae,herb
191,6f905011-2356-4cea-9874-2da7794261e0  1966-08-22T00:00:00+00:00.jpg,N,1,6.619523492,Asteraceae,herb
192,6fcb049a-a535-410b-b3e8-1a862e372683  1972-08-23T00:00:00+00:00.jpg,N,1,26.34318879,Asteraceae,herb
193,6fe95520-f782-499a-a4f7-305669f9dc34  1885-05-10T00:00:00+00:00.jpg,U,O,58.44431827,Asteraceae,herb
194,7023fac7-9cad-40ce-b488-6aa8c03bc612  1891-09-28T00:00:00+00:00.jpg,N,1,17.15938529,Asteraceae,herb
195,70ed313c-72bb-4a8c-b57c-c7cdaa905523  2013-06-18T00:00:00+00:00.jpg,N,1,86.74939946,Asteraceae,herb
196,7229ed72-81f0-4593-b730-99235cee001d  1982-08-03T00:00:00+00:00.jpg,N,1,12.89402887,Asteraceae,herb
197,7268716b-4ba9-47d5-a810-ae0cae97a5c5  1960-10-25T00:00:00+00:00.jpg,N,1,93.6730476,Asteraceae,herb
198,72845387-7d21-4be9-acdb-b17d62a2ff29  2008-09-25T00:00:00+00:00.jpg,N,1,14.83591564,Asteraceae,herb
199,73c547db-416e-488a-9d89-6a7807be62e2  1992-09-25T00:00:00+00:00.jpg,N,1,32.47426073,Asteraceae,herb
200,7405c9ab-52f6-476d-993c-715560a6ce92  1999-10-18T00:00:00+00:00.jpg,N,1,96.57154158,Asteraceae,herb
201,744c2ec6-6099-448c-a4b5-02aa0e3369f0  1969-06-17T00:00:00+00:00.jpg,N,1,19.56723553,Asteraceae,herb
202,74b3dbfc-d67f-4d43-b348-6d0152dd927b  1975-10-10T00:00:00+00:00.jpg,N,O,78.50183051,Asteraceae,herb
