id,observed_on,quality_grade,url,image_url,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
11217025,2018-04-19,research,https://www.inaturalist.org/observations/11217025,https://inaturalist-open-data.s3.amazonaws.com/photos/15911715/medium.jpg,false,,"Sabine Woods Sanct, Port Arthur, TX, USA",29.6988326683,-93.9496290451,198,198,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
11262610,2018-03-24,research,https://www.inaturalist.org/observations/11262610,https://inaturalist-open-data.s3.amazonaws.com/photos/16005642/medium.jpg,false,3,"482–604 Rocky Ln, La Fayette, GA, US",34.6645466667,-85.363395,10,10,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
11316858,2018-04-21,research,https://www.inaturalist.org/observations/11316858,https://static.inaturalist.org/photos/16111615/medium.jpeg,false,,"Pascagoula, MS, USA",30.3639068046,-88.5706671139,54,54,,,false,,,Lesser Centaury,Centaurium pulchellum,Lesser Centaury,Plantae,76217
11391066,2018-04-22,research,https://www.inaturalist.org/observations/11391066,https://static.inaturalist.org/photos/16236481/medium.jpeg,false,,"Virginia, US",37.9988696819,-78.74251893,191,28329,obscured,,true,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
11394489,2018-04-24,research,https://www.inaturalist.org/observations/11394489,https://inaturalist-open-data.s3.amazonaws.com/photos/16241788/medium.jpg,false,3,"Sanibel Island, Sanibel, FL, US",26.4283129061,-82.0812039357,10,10,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
11401122,2018-04-24,research,https://www.inaturalist.org/observations/11401122,https://inaturalist-open-data.s3.amazonaws.com/photos/16253222/medium.jpeg,false,2,"Goreville, IL 62939, USA",37.54340123,-88.98182587,19,19,,,false,,,American columbo,Frasera caroliniensis,American columbo,Plantae,118741
11404822,2018-04-24,research,https://www.inaturalist.org/observations/11404822,https://static.inaturalist.org/photos/16259673/medium.jpg,false,3,"Warren County, US-KY, US",37.1441086103,-86.3826886007,5,5,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
11596701,2018-04-28,research,https://www.inaturalist.org/observations/11596701,https://inaturalist-open-data.s3.amazonaws.com/photos/16565938/medium.jpg,false,3,"Matheson Hammock Park, Coral Gables, FL, US",25.6815181906,-80.2838025336,5,5,,,false,,,marsh pink,Sabatia stellaris,marsh pink,Plantae,126339
11676373,2018-04-28,research,https://www.inaturalist.org/observations/11676373,https://inaturalist-open-data.s3.amazonaws.com/photos/16684686/medium.jpeg,false,,"Chambers County, TX, USA",29.5326716667,-94.7647083333,,,,,false,,,Meadow Pink,Sabatia campestris,Meadow Pink,Plantae,84668
11685678,2018-04-28,research,https://www.inaturalist.org/observations/11685678,https://inaturalist-open-data.s3.amazonaws.com/photos/16701776/medium.jpeg,false,2,"Chapel Hill, NC 27514, USA",35.98362042,-79.05787513,12,12,,,false,,,pennywort,Obolaria virginica,pennywort,Plantae,126800
